CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa no densificada,Biomasa no densificada,Biomasa no densificada
 0.00 , 4363.03 , 3045.27 
 0.00 , 3326.02 , 2295.09 
 0.00 , 3163.86 , 2179.33 
 0.00 , 3236.10 , 2230.85 
 0.00 , 3290.26 , 2269.53 
 0.00 , 3289.67 , 2269.11 
 0.00 , 3399.61 , 2347.77 
 0.00 , 3559.30 , 2462.36 
2524.24 , 3520.89 , 4792.10 
 0.00 , 3615.70 , 2502.93 
 0.00 , 3586.91 , 2482.21 
 0.00 , 3359.38 , 2318.96 
 0.00 , 3332.14 , 2299.47 
 0.00 , 3312.37 , 2285.34 
 0.00 , 3296.10 , 2273.70 
 0.00 ,  0.00 ,  0.00 
 0.00 , 304.01 , 203.06 
 0.00 , 2167.26 , 1476.76 
 0.00 , 2236.34 , 1524.97 
 0.00 , 2286.62 , 1560.10 
 0.00 , 2326.80 , 1588.21 
 0.00 , 2360.83 , 1612.03 
 0.00 , 2390.65 , 1632.92 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4070.14 , 2831.65 
2621.25 , 3917.12 , 5171.12 
 0.00 , 3813.59 , 2645.67 
 0.00 , 3653.22 , 2529.95 
 0.00 , 3469.19 , 2397.65 
 0.00 , 3232.17 , 2228.05 
 0.00 , 3094.03 , 2129.60 
 0.00 , 3218.83 , 2218.53 
 0.00 , 3302.13 , 2278.02 
 0.00 , 3375.48 , 2330.49 
 0.00 , 3327.53 , 2296.18 
 0.00 , 3144.45 , 2165.50 
 0.00 , 3115.32 , 2144.75 
 0.00 , 3146.22 , 2166.76 
 0.00 , 3130.16 , 2155.32 
2590.58 ,  0.00 , 2409.24 
 0.00 , 54.46 , 36.28 
 0.00 , 2104.97 , 1433.35 
 0.00 , 2232.53 , 1522.31 
 0.00 , 2342.27 , 1599.04 
 0.00 , 2442.65 , 1669.38 
 0.00 , 2537.28 , 1735.84 
 0.00 , 2628.62 , 1800.11 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4316.37 , 3011.14 
 0.00 , 2975.60 , 2045.44 
 0.00 , 2322.84 , 1585.44 
 0.00 , 1713.18 , 1161.64 
 0.00 , 1080.11 , 727.42 
 0.00 , 594.03 , 397.99 
 0.00 , 431.94 , 288.90 
 0.00 , 464.90 , 311.05 
2524.24 , 837.83 , 2910.87 
 0.00 , 2031.51 , 1382.23 
 0.00 , 2328.38 , 1589.32 
 0.00 , 2304.87 , 1572.86 
 0.00 , 2387.18 , 1630.49 
 0.00 , 2460.62 , 1681.99 
 0.00 , 2529.02 , 1730.03 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1083.19 , 729.52 
 0.00 , 1860.92 , 1263.83 
 0.00 , 1991.30 , 1354.28 
 0.00 , 2107.40 , 1435.04 
 0.00 , 2270.04 , 1548.51 
 0.00 , 2374.82 , 1621.83 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4048.41 , 2815.86 
2621.25 , 2758.66 , 4335.76 
 0.00 , 2284.70 , 1558.76 
 0.00 , 1552.25 , 1050.70 
 0.00 , 768.39 , 515.77 
 0.00 , 372.59 , 249.04 
 0.00 , 248.13 , 165.63 
 0.00 , 280.30 , 187.17 
 0.00 , 731.92 , 491.10 
 0.00 , 1893.35 , 1286.31 
 0.00 , 2193.21 , 1494.86 
 0.00 , 2117.33 , 1441.96 
 0.00 , 2200.02 , 1499.61 
 0.00 , 2275.48 , 1552.32 
 0.00 , 2346.28 , 1601.84 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 527.88 , 353.43 
 0.00 , 1564.30 , 1059.00 
 0.00 , 1642.88 , 1113.14 
 0.00 , 1759.18 , 1193.43 
 0.00 , 1868.41 , 1269.02 
 0.00 , 1917.39 , 1302.97 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3499.00 , 2419.05 
 0.00 , 3062.13 , 2106.91 
 0.00 , 2187.80 , 1491.09 
 0.00 , 1986.41 , 1350.88 
 0.00 , 2095.31 , 1426.62 
 0.00 , 1961.67 , 1333.70 
 0.00 , 1394.33 , 942.21 
 0.00 , 1344.12 , 907.79 
2524.24 , 1758.70 , 3542.99 
 0.00 , 2028.31 , 1380.00 
 0.00 , 2330.07 , 1590.50 
 0.00 , 2156.14 , 1469.01 
 0.00 , 2210.05 , 1506.61 
 0.00 , 2211.14 , 1507.37 
 0.00 , 2263.34 , 1543.83 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 214.04 , 142.83 
 0.00 , 1319.06 , 890.63 
 0.00 , 1442.25 , 975.10 
 0.00 , 1498.25 , 1013.57 
 0.00 , 1544.49 , 1045.36 
 0.00 , 1639.04 , 1110.49 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3295.76 , 2273.46 
2621.25 , 3121.58 , 4594.93 
 0.00 , 2965.57 , 2038.32 
 0.00 , 2732.40 , 1873.29 
 0.00 , 2523.36 , 1726.05 
 0.00 , 2300.41 , 1569.75 
 0.00 , 2322.53 , 1585.22 
 0.00 , 2364.93 , 1614.90 
 0.00 , 2421.47 , 1654.53 
 0.00 , 2534.25 , 1733.71 
 0.00 , 2550.91 , 1745.42 
 0.00 , 2336.19 , 1594.78 
 0.00 , 2365.48 , 1615.29 
 0.00 , 2404.32 , 1642.50 
 0.00 , 2447.71 , 1672.93 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 510.08 , 341.44 
 0.00 , 1593.84 , 1079.34 
 0.00 , 1718.69 , 1165.45 
